Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
31 MAR 2020,SOL  n a,Shannon Rupert,None,Nothing to report,,Power system   ONLY. Nominal.,60%,65 %,5.5,full,n a,250,no,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rovers are in town to be stored until May.,ATVs are stored in a line outside the Hab until May.,Parked at MDRS,In Hanksville,Nothing to report,Nominal.,Nothing to report.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,The septic tanks are both relatively full and should be pumped out either in June or October.,This will be the last daily operations report for awhile.
30 MAR 2020,SOL  n a,Shannon Rupert,None,Nothing to report,,Power system   ONLY. Nominal.,60%. Tank locked down.,65 %,5.5,full,n a,300. Pump off.,no,0,0,yes. Tank is completely empty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rovers are in town to be stored until May.,ATVs are stored in a line outside the Hab until May.,Parked at MDRS,In Hanksville,Nothing to report,Nominal.,Nothing to report.,New latches installed interior of rear,Nothing to report,Nothing to report,Nothing to report,New latch installed on exterior airlock,We continue to be plagued with,Nothing at this time
26 MAR 2020,SOL  n a,Shannon Rupert,None,Nothing to report,,Power system   ONLY. Nominal.,60%,65 %,5.5,half full,n a,300,no,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rovers are in town to be stored until May.,ATVs are stored in a line outside the Hab until May.,Not used,In Hanksville,Nothing to report,Nominal.,Nothing to report.,Hab is ready for shutdown except that I,Shutdown complete until Fall 2020. I,Shutdown complete until May,The seal on the inner half shell of,Shutdown complete until May,Nothing to report,Nothing at this time
MDRS Supplemental  24 MAR 2020,,Shannon Rupert,None,,,Nominal  providing power 24 hours a day  avg.  80per day,60 %  ordered lock for tank,main tank   65 %,5,,n a,350,no,,,n a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,running  If   why  where  At MDRS  used for chores,CrewCar running  If used why  where  Currently in Hanksville.,,All three accounts nominal,Nothing to report,Ordered hardware for new lock on rear airlock,Shutdown until Fall. Ordered keyed,Shutdown until May,Nothing to report,Nothing to report,Nothing to report,supplies needed and requests  Nothing at this time.
23 MAR 2020,SOL  n a,Shannon Rupert,None,Nothing to report,,Power system   ONLY. Nominal.,60%,68 %,5.5,full,n a,150,no,0,0,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All rovers are in town to be stored until May.,ATVs will be stored in a line outside the Hab until May.,Not used,In Hanksville,Nothing to report,Nominal.,Nothing to report.,Nothing to report,Shutdown complete until Fall 2020,Shutdown complete until May,Nothing to report,Nothing to report.,I knocked my head really hard,Nothing at this time
22 MAR 2020,SOL  n a,Shannon Rupert,None,Nothing to report,,Power system   ONLY. Nominal.,60%,68 %,5.5,full,n a,150,no,0,0,no,Yes,152.9,96 %,100%,yes,Yes,105.2,100%,55 %,yes,Yes,134.6,100%,43 %,yes,Yes,70.7,100%,47 %,yes,Yes,140.0,100%,40 %,yes,,,,,,All rovers were moved to town today for storage,0,Not used,In Hanksville. Used today to travel,Started loading some of the trash on the,Nominal.,Nothing to report.,Worked on cleaning upper deck. Progress,Still not quite done.,Nothing to report.,The seal on the dome lip appears to,Nothing to report.,Nothing to report.,Nothing at this time
21 MAR 2020,SOL  n a,Shannon Rupert,None,Nothing to report,,Power system   ONLY. Nominal.,60%,68 %,5.5,full,n a,150,no,0,0,no,no,152.5,100%,100%,yes,no,104.5,100%,100 %,yes,no,134.2,100%,100 %,yes,no,70.3,100%,100 %,yes,no,139.6,100%,100 %,yes,,,,,,Since most of the rovers  nametags were damaged  I removed them and wrote each rover s name on the hood with silver permanent marker. It s temporary  but it works. Most of the rovers will be moved to town tomorrow.,0,To town to haul water and do laundry. Gas cap was replaced.,In Hanksville.,I didn t get a whole lot done today. The past week caught up with this  elderly  person and I took a bit of a break.,Nominal.,Nothing to report.,Nothing to report,Still need to finish things up in there.,Finally  finally  finally  the dual split system was completed. It was wired into the ScienceDome breaker box  all condensation was removed from the system  oil and refrigerant were added  and more than a year after we started  we have heat and air conditioning,The black rubber seal on one half of the dome has fallen off. I will be working with Peter to secure it again.,Nothing to report.,Nothing to report.,Nothing at this time.
20 MAR 2020,SOL  n a,Shannon Rupert,None,I find it just a little ironic that all systems are nominal right now.,,Power system   ONLY. Nominal. 99at 8 pm last night  77% at 7 am this morning.,60%,68 %,5.5,full,n a,150,yes,0,0,no,no,152.5,100%,100%,yes,yes,104.5,100%,96 %,yes,yes,134.2,100%,98 %,yes,no,70.3,100%,100 %,yes,yes,139.6,100%,100 %,yes,,,,,,Nothing to report,0,Just moved on station,CrewCar is currently in Hanksville and will remain there for a while.,Tunnel has been stripped of all tarps and tennis balls. They are stored in the RAM. The tennis ball caps worked perfectly all season.,Nominal.,All radios and spacesuits are no longer connected to power.,The lower deck lighting was replaced today with three 18  000 LED lights. It s delightfully daylight bright in there now  We also replaced the light in the EVA room with an LED daylight fixture. We should replace the remaining lower deck light,Shutdown almost completed. I need to vacuum and bleach the floor and it will be complete,Nothing to report,Nothing to report,Nothing to report.,Nothing to report.,It s been a good day and a lot got done
19 MAR 2020,SOL  n a,Shannon Rupert,none,nothing to report,,No longer using  generator.  Power only.,66%,69 %,5.5,full,n a,150,yes,0,0,no,no,152.5,100%,100%,yes,no,104.5,100%,100 %,yes,no,134.2,100%,100%,yes,no,70.3,100%,100 %,yes,no,139.6,100%,100 %,yes,,,,,,Nothing to report,0,Went to town for supplies,CrewCar is currently in Hanksville and will remain there for a while.,Remote power system monitoring is now online.,I disconnected  wifi in the Hab and have the internet directly plugged into the remote power system online monitoring system. This means I can keep an eye on the system remotely.,Nothing to report,Nothing to report,GreenHab has been cleaned and prepped for summer except for the floor.,Nothing to report,This morning the SOC was 66% when the observatory was not being used  so the power loss we are experiencing at night is not caused by the observatory  but rather me. Observatory operations will continue unrestricted.,Nothing to report.,Nothing to report.,We did not have any mud from the small amount of rain we got last night. Also  happy spring
18 MAR 2020,SOL  n a,Shannon Rupert,Nothing to report,Nothing to report,,Generator was taken back to Grand Junction today and we are on  power only.,66%,69 %,5.5,10,n a,200,no,basically empty,0,no,no,152.5,100%,100%,yes,yes,104.5,100%,86%,yes,no,134.2,100%,100%,yes,yes,70.3,100%,97%,yes,yes,139.6,100%,96 %,yes,,,,,,Nothing to report,0,Not used,CrewCar is currently in Hanksville  used to deliver plants to Hanksville Community Gardens,Removed more of the tunnel  hindered by strong winds  but wanted to get as many down as possible before rain. They are stored in the RAM until I can fold them.,Nominal,Nothing to report,Nothing to report,Only a few plants left in the herb garden. I am transplanting them into pots so they can be donated.,Nothing to report,It s rainy tonight so we weren t going to use the observatory but I asked Peter to make sure if the skies clear that it doesn t not open. This way we will be able to determine how much of the nighttime use of power is me and how much is the observatory. Hopefully it will be okay once I am gone  but right now it looks like we use too much at night and will damage the batteries over the long term. We may need to stagger nights that we use the observatory so that every other day they don t discharge so,Nothing to report.,Nothing to report.,It s raining again which means mud tomorrow. I m so not happy about this.
